denomination,onboardingV7_lifeChallenge,age,gender,lifeChallengeOption
Pentecostal,"I am stressed with life, feeling stagnant, afraid of failure. Wanting to be the best version of myself for my daughter and family. ",25-34,"""m""","""Purpose or direction"""
Nondenominational,I have a hard time detaching from work and feeling guilty if I don’t overwork. I am constantly in stress and I want more clarity and peace at mind.,25-34,"""m""","""Stress or burnout"""
Baptist,"Trying to really quick smoking ,drinking,etc.want to be more consistent with reading the Bible.Want to be me more grounded",25-34,"""m""","""Purpose or direction"""
Nondenominational,Anxiety,25-34,"""f""","""Anxiety or fear"""
Nondenominational,My habit im struggling with is gossip. I hate that I gossip but I feel this need to share everything I feel and I really do not like that about me ,25-34,"""f""","""Family or relationships"""
Nondenominational,Discipline,25-34,"""m""","""Family or relationships"""
Nondenominational,Self worth,25-34,"""m""","""Purpose or direction"""
Other,Lost and scared for what’s to come,25-34,"""m""","""Anxiety or fear"""
Baptist,"Going threw a break up , raising children , loving myself ",25-34,"""m""","""Loneliness or heartbreak"""
Nondenominational,Constant fear of health issues or death ,25-34,"""f""","""Anxiety or fear"""
Catholic,Postpartum depression anxiety ,25-34,"""f""","""Anxiety or fear"""
Catholic,Work stress ,25-34,"""m""","""Addiction or temptation"""
Catholic,i need help and advices ,25-34,"""m""","""Finances or provision"""
Other,Life,35-44,"""m""","""Addiction or temptation"""
Nondenominational,Wife cheated and left me,35-44,"""m""","""Loneliness or heartbreak"""
Other,"Anxiety, drinking, anger and stress",35-44,"""f""","""Purpose or direction"""
Other,Oooo,35-44,"""f""","""Family or relationships"""
Other,,35-44,"""f""","""Stress or burnout"""
Catholic,Health worries think negative ,35-44,"""f""","""Health or healing"""
Catholic,I am separated from my husband after we were both unfaithful to each other. I have full regret and remorse for what I have done and would never want to go down that path again. While my husband is feeling that he is the better person and does not need god in his life.,35-44,"""f""","""Family or relationships"""
Nondenominational, Looking to get more consistent with studying and following god daily. ,25-34,"""m""","""Addiction or temptation"""
Nondenominational,.,25-34,"""m""","""Purpose or direction"""
Other,"Anger, sadness. Because ive been with my husband for 7 years now 1 year married  and cheated on me the whole time even while I was pregnant, before pregnancy and a bit after. Not physically that I know of but sexting, dating apps and meeting with women. And I decided to stay ",25-34,"""f""","""Anxiety or fear"""
Other,My cousin and depressed ,25-34,"""f""","""Stress or burnout"""
Baptist,"My work life really sucks. My boss is awful and my managers are all snakes and it hurts my feelings. It makes me bring all that bad energy, stress and anger home to my husband and that creates friction between us. I don’t want to be mean to my husband! He’s the kindest man in the world! I truly love him with my whole heart and I want him to be happy. I’m angry! I’m hurt! ",25-34,"""f""","""Stress or burnout"""
Catholic,"Stress of moving, being too nice to people, my relationship with my partner",25-34,"""f""","""Stress or burnout"""
Nondenominational,"Being a single mother, no family support, the dads are not around. I pull all the weight for just me and my children. I suffer from severe panic attacks and I’m just ready to give up. ",25-34,"""f""","""Purpose or direction"""
Pentecostal,Seeing the mother of my kid with someone else,25-34,"""m""","""Loneliness or heartbreak"""
Protestant,"Addiction, focus, routine ",25-34,"""m""","""Addiction or temptation"""
Nondenominational,Stress about everything ,25-34,"""f""","""Anxiety or fear"""
Nondenominational,"Addictions, desires, temptations, and distractions",25-34,"""m""","""Addiction or temptation"""
Other,Feeling like I’m walking by aimlessly ,25-34,"""m""","""Purpose or direction"""
Nondenominational,I feel stressed financially. I feel like I take it out on my relationship and kids relationship. I want to be happy and stress free. I also battle with how my husband views me. I pray that one day he sees me and accepts me for me.,25-34,"""f""","""Stress or burnout"""
Nondenominational,"New promotion under new company, it’s required my full attention for 11+ hours a day. Making it difficult o care for myself in other ways and I’m currently planning a wedding as well. ",25-34,"""f""","""Anxiety or fear"""
Nondenominational,Open heart surgery,25-34,"""f""","""Anxiety or fear"""
Nondenominational,"Lord, I am a recovering addict from drugs and still struggling with alcohol. Please guide me in a way that I know how to deal with alcohol while still getting sleep at night ",25-34,"""m""","""Addiction or temptation"""
Pentecostal,D,25-34,"""m""","""Addiction or temptation"""
Baptist,Being a good mom and wife while still being able to work and do all the things,25-34,"""f""","""Anxiety or fear"""
Baptist,"I’m Going Thru Depression , PTSD , Anxiety. I’m Going Thru The Fact That I Cut My Family Off Cause They Treat Me Badly & Make My Kids Feel Unloved / Unwanted In The Family Like They Do With Me I Also Ask God To Help Guide Me & Put Him First Thru My Life , My Relationship, My Family ( The One I Created & The Family I Came From ) I Also Sometimes Have Suicidal  Thoughts & Im Going Thru The Loss Of My Cousin & I Can’t Seem To Understand Why She Had To Die Why She Had To Leave Me I’m Going Thru Grief A Lot ",25-34,"""f""","""Family or relationships"""
Baptist,Just trying to heal and become a better version of me and find my purpose in life that God has called for me ,25-34,"""f""","""Health or healing"""
Baptist,Trouble in relationships. Stress. Burnout. ,25-34,"""m""","""Family or relationships"""
Catholic,I want to be somebody and I want somebody to love me and I want a family ,25-34,"""m""","""Purpose or direction"""
Catholic,Work,25-34,"""m""","""Anxiety or fear"""
Nondenominational,Just struggling mentally and emotionally ,25-34,"""m""","""Family or relationships"""
Pentecostal,My marriage ,25-34,"""m""","""Addiction or temptation"""
Baptist,Stressed extremely can’t never stay on track for a long period of time,25-34,"""m""","""Purpose or direction"""
Nondenominational,B,25-34,"""f""","""Stress or burnout"""
Other,Lust,25-34,"""m""","""Loneliness or heartbreak"""
Catholic,I just want to grow my relationship with god. so I can also grow into my relationship with others.,25-34,"""f""","""Family or relationships"""
Catholic,"I currently feel stuck with no actual purpose, also fighting addiction and lust ",25-34,"""m""","""Purpose or direction"""
Catholic,Patience ,25-34,"""m""","""Anxiety or fear"""
Catholic,Purpose and motivational Bible content,25-34,"""m""","""Purpose or direction"""
Catholic,Staying focus on whats to come and taking better decisions,25-34,"""m""","""Purpose or direction"""
Catholic,interview for new job and moving to a big city,25-34,"""m""","""Anxiety or fear"""
Nondenominational,Always thinking the worst,25-34,"""f""","""Anxiety or fear"""
Other,"I’m facing a difficult season filled with legal struggles, separation, and emotional pain. I feel exhausted and sometimes lost, but I want to trust God’s plan and find peace in His presence while I fight for what’s right for my child.\nBecause of his father",25-34,"""f""","""Purpose or direction"""
Catholic,"College grad, live with parents, adult siblings issues, overworked and underpaid, job findings, relationship with man, debt, self sabotage, weight loss, negative, motivation with no action",25-34,"""f""","""Stress or burnout"""
Catholic,Major changes to my life,25-34,"""m""","""Stress or burnout"""
Other,"Stress , loneliness, fear , financial , peace , emotions , heartbreak . ",25-34,"""f""","""Finances or provision"""
Other,Finances ,25-34,"""m""","""Finances or provision"""
Other,Lust,25-34,"""m""","""Addiction or temptation"""
Nondenominational,"I love God, but i have fell off my faith a lot recently. I’m always distracted by a man my partner. I lost a child at 20 week so I’m also dealing with grief. Still trying to find my purpose in life. I don’t know why I’m here. I want a closer bond to God. I want to better understand his word",35-44,"""f""","""Purpose or direction"""
Baptist,"Stressed trying to be a faithful Christian, present wife & mom, & good family member, friend & boss. ",35-44,"""f""","""Stress or burnout"""
Nondenominational,Living separately from my husband due to custody orders ,35-44,"""f""","""Family or relationships"""
Nondenominational,To stay calm when with the kids and enjoy life with them. ,35-44,"""f""","""Anxiety or fear"""
Nondenominational,"Finances, faith, patience ",35-44,"""m""","""Purpose or direction"""
Nondenominational,Loneliness ,35-44,"""m""","""Purpose or direction"""
Nondenominational,"We are struggling financially as a family. I have 3 children and all 3 are autistic. I struggle with a slight addiction to alcohol. I have had issues with cheating. I want to be a better Christian, man, husband, and father. ",35-44,"""m""","""Family or relationships"""
Pentecostal,Organization ,35-44,"""f""","""Purpose or direction"""
Pentecostal,Overcoming stress ,35-44,"""f""","""Stress or burnout"""
Pentecostal,Falling further into debt,35-44,"""m""","""Finances or provision"""
Baptist,Losing a loved one,35-44,"""f""","""Anxiety or fear"""
Baptist,My finances ,35-44,"""f""","""Finances or provision"""
Baptist,I want to be the best dad that I can be.,35-44,"""m""","""Addiction or temptation"""
Baptist,Struggling with financial problems. ,35-44,"""m""","""Finances or provision"""
Evangelical,Cha gong jobs being a better wife and mom and not being on social media so much ,35-44,"""f""","""Stress or burnout"""
Nondenominational,Fear and anxiety of the unknown ,35-44,"""f""","""Anxiety or fear"""
Nondenominational,Living paycheck to paycheck ,35-44,"""f""","""Finances or provision"""
Nondenominational,Lust ,35-44,"""m""","""Addiction or temptation"""
Other,I have a hard time being confidant and think about providing for my family financially and giving them the best life ,35-44,"""m""","""Finances or provision"""
Protestant,Continue growing in His word.,35-44,"""f""","""Finances or provision"""
Catholic,My anxiety ,35-44,"""f""","""Anxiety or fear"""
Catholic,Anxiety from the unknown and consequences of my actions.,35-44,"""m""","""Anxiety or fear"""
Nondenominational,Providing a great life for my wife and soon to be born baby boy. Always providing for them and making them happy. Raising my son in a house of God and making him a great person. Being a godly and better man for my wife. ,25-34,"""m""","""Finances or provision"""
Pentecostal,Separation divorce ,25-34,"""f""","""Loneliness or heartbreak"""
Other,I lost my job and I’m just feeling numb and directionless. Questioning it all. I want to move to NYC the Lord put it on my heart but I’m not there in that place yet. I have been so on edge and mix emotions with anger and calm and agitation. I have no idea why my moods and emotions are all over the place. I don’t know what it is. ,25-34,"""f""","""Anxiety or fear"""
Catholic,"Financial hardship, loneliness, not being enough to carry my family to where they want to be ",25-34,"""m""","""Stress or burnout"""
Nondenominational,Heartbreak,25-34,"""f""","""Family or relationships"""
Nondenominational,"anxiety , fear of abandonment ",35-44,"""m""","""Anxiety or fear"""
Other,"Needing to be forgive and cleansed of all of my bad habits, my sins, etc. ",25-34,"""m""","""Addiction or temptation"""
Catholic,"Feel like I’m doing good in life, but in a financial hole feel like I’m behind for my age of 28 compared to others ",25-34,"""m""","""Finances or provision"""
Baptist,Closer relationship with god,35-44,"""f""","""Purpose or direction"""
